frame,atom,x_A,y_A,z_A,own_Fx,own_Fy,own_Fz,ASE_Fx,ASE_Fy,ASE_Fz
0,0,0.0,0.0,0.0,-0.0,-0.0,-13.483213859764511,0.0,0.0,-13.483213859764515
0,1,0.0,0.0,0.5,0.0,0.0,13.483213859764511,0.0,0.0,13.483213859764515
1,0,0.0,0.0,0.0,-0.0,-0.0,-5.973479879129872,0.0,0.0,-5.973479879129874
1,1,0.0,0.0,0.6,0.0,0.0,5.973479879129872,0.0,0.0,5.973479879129874
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.74,-0.0,-0.0,-0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0,0.0,3.0394301820839456,0.0,0.0,3.0394301820839464
3,1,0.0,0.0,0.9,-0.0,-0.0,-3.0394301820839456,0.0,0.0,-3.0394301820839464
4,0,0.0,0.0,0.0,0.0,0.0,3.985543414250017,0.0,0.0,3.9855434142500177
4,1,0.0,0.0,1.2,-0.0,-0.0,-3.985543414250017,0.0,0.0,-3.9855434142500177
5,0,0.0,0.0,0.0,0.0,0.0,2.047050726755948,0.0,0.0,2.0470507267559483
5,1,0.0,0.0,1.8,-0.0,-0.0,-2.047050726755948,0.0,0.0,-2.0470507267559483
6,0,0.0,0.0,0.0,0.0,0.0,0.2724640963368519,0.0,0.0,0.27246409633685176
6,1,0.0,0.0,3.0,-0.0,-0.0,-0.2724640963368519,0.0,0.0,-0.27246409633685176
