x_bohr,V_Hartree,psi_0,psi_1,psi_2,psi_3
-5.970074812967581,100.12030814951896,1.0386641289441856e-11,-1.2050176040325027e-11,-2.5009456424987898e-11,5.167294717730645e-11
-5.940149625935161,97.87748502291628,2.262123122065411e-11,-2.624280329575905e-11,-5.4418161550035535e-11,1.1237584893812514e-10
-5.910224438902743,95.67114760869383,3.878962903791728e-11,-4.499583174956709e-11,-9.318061071579986e-11,1.9226525253829587e-10
-5.880299251870324,93.5009148200343,6.155021975880822e-11,-7.139030377542656e-11,-1.4759132851461196e-10,3.0422132322682205e-10
-5.850374064837905,91.36640749480148,9.453186119106991e-11,-1.0963118484791106e-10,-2.2621408720097046e-10,4.657339875146608e-10
-5.820448877805486,89.26724839553974,1.4285010319353048e-10,-1.6564499708272276e-10,-3.4108197103778484e-10,7.013326065584274e-10
-5.790523690773067,87.20306220947461,2.138069018166166e-10,-2.478896866238156e-10,-5.093173192193297e-10,1.0458579117000139e-09
-5.760598503740648,85.17347554851249,3.1785687784751545e-10,-3.684727377705423e-10,-7.553601520467247e-10,1.5489528989328543e-09
-5.730673316708229,83.17811694924052,4.699495290309572e-10,-5.447039802731295e-10,-1.114052209636871e-09,2.2812647118613583e-09
-5.7007481296758105,81.2166168729269,6.913935093775512e-10,-8.012519061412801e-10,-1.6349050127707258e-09,3.343009485124648e-09
-5.670822942643391,79.28860770552062,1.0124387771324386e-09,-1.1731296572363799e-09,-2.3879899655355964e-09,4.875767329082398e-09
-5.640897755610972,77.3937237576516,1.4758386315322005e-09,-1.7098132468013518e-09,-3.472033934156454e-09,7.0786593903164595e-09
-5.610972568578553,75.53160126463074,2.141740996090139e-09,-2.4808953169692535e-09,-5.025494578948335e-09,1.0230431548982617e-08
-5.581047381546134,73.70187838644961,3.0943725768241937e-09,-3.5838094975171794e-09,-7.2416380970754046e-09,1.4719452785122154e-08
-5.551122194513716,71.90419520778094,4.451127992207345e-09,-5.154331570679545e-09,-1.038896296555205e-08,2.108425890326945e-08
-5.521197007481296,70.13819373797814,6.37486761691447e-09,-7.380784480633404e-09,-1.483872515021014e-08,3.006806868637475e-08
-5.491271820448877,68.40351791107564,9.090473696830392e-09,-1.0523157379376184e-08,-2.1101845370744167e-08,4.269171129019183e-08
-5.461346633416459,66.69981358578882,1.2907027615631488e-08,-1.4938709681119302e-08,-2.987814416295226e-08,6.035068045338223e-08
-5.431421446384039,65.02672854551372,1.8247368059852433e-08,-2.111608789869718e-08,-4.2121687491053396e-08,8.494363151202097e-08
-5.401496259351621,63.383912498327575,2.5687289344726686e-08,-2.9720557755844033e-08,-5.9127071994988345e-08,1.1904162971863312e-07
-5.371571072319202,61.771017076988215,3.6007263872593696e-08,-4.165367252984429e-08,-8.26427782187565e-08,1.6610992197307476e-07
-5.341645885286782,60.18769583893459,5.026034894043839e-08,-5.8131590923133314e-08,-1.1501932254792128e-07,2.3079702881938452e-07
-5.311720698254364,58.63360426628649,6.986089634611618e-08,-8.078735880567517e-08,-1.5940190115014395e-07,3.193096406973787e-07
-5.281795511221945,57.108399765844524,9.66998582759297e-08,-1.1180381866996139e-07,-2.1997960597085486e-07,4.3989626410129436e-07
-5.251870324189526,55.61174166909032,1.3329391410268587e-07,-1.5408545344263572e-07,-3.0230617452585775e-07,6.034679215926309e-07
-5.221945137157107,54.143291232186236,1.8297737379250289e-07,-2.1147945730768999e-07,-4.137106887250856e-07,8.243905948844152e-07
-5.192019950124688,52.702711635975724,2.501478927136749e-07,-2.890587101278927e-07,-5.638207451811145e-07,1.121491648353892e-06
-5.162094763092269,51.28966798598293,3.405795117040821e-07,-3.934821728718818e-07,-7.652254657104056e-07,1.5193313189420024e-06
-5.13216957605985,49.90382731241305,4.618194702980026e-07,-5.33451581476968e-07,-1.0343113883453042e-06,2.04980064154374e-06
-5.102244389027431,48.544858570152144,6.236886869767982e-07,-7.202872601118575e-07,-1.3923108602899205e-06,2.7541190205161687e-06
-5.072319201995012,47.21243263876709,8.38909815465422e-07,-9.686504662983458e-07,-1.8666101227498253e-06,3.6853181629814708e-06
-5.042394014962593,45.90622232250571,1.123891425965111e-06,-1.297444981956734e-06,-2.492372899941124e-06,4.9113143344112764e-06
-5.012468827930174,44.6259023502968,1.4997021758951283e-06,-1.7309367329246352e-06,-3.314545029780288e-06,6.518687916753811e-06
-4.982543640897755,43.371149375749866,1.9932748696380465e-06,-2.30013710247203e-06,-4.3903165258837745e-06,8.617308024350371e-06
-4.952618453865337,42.14164197715552,2.6388870927898345e-06,-3.0445033357439005e-06,-5.792129430497034e-06,1.1345960372704263e-05
-4.922693266832917,40.93706065748508,3.479972659231707e-06,-4.0140180269590005e-06,-7.611332854226535e-06,1.4879158521693006e-05
-4.892768079800499,39.75708784439093,4.5713264234047805e-06,-5.271719129809507e-06,-9.962600596641995e-06,1.9435341743999523e-05
-4.86284289276808,38.60140789020618,5.981774052916036e-06,-6.896762192694391e-06,-1.2989241534096318e-05,2.5286686692694e-05
-4.83291770573566,37.46970707194498,7.797388062289781e-06,-8.988107514598276e-06,-1.6869548305015273e-05,3.277078420723439e-05
-4.802992518703242,36.36167359130232,1.0125341671899153e-05,-1.1668936519203637e-05,-2.1824345390437825e-05,4.230445629245244e-05
-4.7730673316708225,35.27699757465404,1.3098502725228965e-05,-1.5091913675529625e-05,-2.812591305496849e-05,5.4400010642642564e-05
-4.743142144638403,34.21537107305694,1.6880880768350256e-05,-1.9445422513845265e-05,-3.610847825208421e-05,6.96842499879319e-05
-4.713216957605985,33.17648806224871,2.1674051204970202e-05,-2.4960916389470978e-05,-4.618047686795239e-05,8.892056974432619e-05
-4.6832917705735655,32.16004444264787,2.772469086215411e-05,-3.192153625524352e-05,-5.883880282411934e-05,0.00011303448849012186
-4.653366583541147,31.16573803935395,3.533336894185683e-05,-4.0672158359871284e-05,-7.468526771049026e-05,0.00014314296002190037
-4.623441396508728,30.193268602147228,4.486474572831035e-05,-5.163104395918298e-05,-9.444549879356298e-05,0.00018058781134701275
-4.593516209476309,29.242337805489015,5.675933803832946e-05,-6.530327019696823e-05,-0.0001189905023572318,0.00022697363599065716
-4.56359102244389,28.312649248521417,7.154701464150369e-05,-8.229612559355215e-05,-0.00014936111221599,0.0002842104443800139
-4.533665835411471,27.403908455067494,8.986238608044722e-05,-0.00010333665431785649,-0.0001867955286627316,0.0003545613307165788
-4.503740648379052,26.515822873631226,0.00011246225077747651,-0.0001292915298010187,-0.00023276012981452546,0.00044069535658535777
-4.473815461346633,25.64810187739737,0.0001402452522759171,-0.0001611894294254189,-0.0002889837040466342,0.0005457457736054702
-4.443890274314214,24.800456764231694,0.00017427389016515113,-0.0002002460671220872,-0.0003574952077590884,0.0006733736089300757
-4.413965087281795,23.972600756680837,0.00021579900891494262,-0.0002478920188688107,-0.0004406650960111552,0.000827836516889273
-4.384039900249376,23.164249001972276,0.0002662868637624158,-0.000305803446475418,-0.0005412502036658704,0.0010140626564938908
-4.3541147132169575,22.37511857201447,0.00032744883028013044,-0.00037593578691921266,-0.0006624420709231002,0.0012377291873800426
-4.324189526184538,21.60492846339668,0.000401273783725741,-0.0004605604272120064,-0.0008079185091032714,0.0015053447862398625
-4.29426433915212,20.853399597389153,0.0004900631252832126,-0.0005623043278547029,-0.0009818980902680909,0.0018243353728070518
-4.2643391521197005,20.120254819942947,0.0005964683745723364,-0.0006841924910785679,-0.0011891971181670128,0.0022031320009019014
-4.234413965087281,19.40521890169007,0.0007235311812558018,-0.0008296930932401896,-0.0014352884990265623,0.0026512596187441475
-4.204488778054863,18.708018537943445,0.0008747255333869051,-0.0010027650141726985,-0.0017263617803688713,0.0031794251376459043
-4.1745635910224435,18.028382348696816,0.001054001856774703,-0.0012079074005695682,-0.002069383466484081,0.0037996029743607813
-4.144638403990024,17.36604087862487,0.001265832608870474,-0.0014502107965227798,-0.002472156553161175,0.004525115955992404
-4.114713216957606,16.72072659708321,0.0015152588736135248,-0.001735409263478881,-0.002943378055232101,0.005370709204777709
-4.084788029925186,16.09217389810826,0.0018079373617873925,-0.0020699327958489783,-0.003492693132480146,0.006352614361627879
-4.054862842892768,15.48011910041742,0.0021501871165665594,-0.0024609592194632197,-0.004130744257192419,0.007488601271331118
-4.024937655860349,14.88430044740893,0.0025490351182776956,-0.0029164646405586137,-0.004869213715334366,0.008798014048851782
