iteration,E_total_Hartree,density_change_Frobenius,commutator_norm
1,-2.8395042415960288,0.4518742022044371,0.08482659772924889
2,-2.8409757966094014,0.09777862700659751,0.0028730440153477733
3,-2.8409770981943727,0.0016801222607759785,0.0013348159733878975
4,-2.8409772827202695,0.002475415596775935,0.0009295559222507562
5,-2.840973512235258,0.005854208757285515,0.004429361896307651
6,-2.8409773573605883,0.004069904766463105,0.0007023892074061499
7,-2.836396923684353,0.16091533625179252,0.15285805447853149
8,-2.840977445357462,0.1614240090008169,0.00023656591091822014
9,-2.8409774566128125,0.00026403805296364207,4.951705951450815e-06
10,-2.8409774566177446,5.438618548985415e-06,2.2768551745990462e-08
