scenario,a_A,volume_A3_atom,energy_eV_atom
baseline,3.9,14.829749999999995,-3.6316234020775098
baseline,3.98,15.761198000000002,-3.677592775719872
baseline,4.06,16.730854,-3.688463950959628
baseline,4.14,17.739485999999996,-3.6707425290855227
baseline,4.22,18.787862000000004,-3.630236922752703
cutoff_eV-0,3.9,14.829749999999995,-3.6324925754584902
cutoff_eV-0,3.98,15.761198000000002,-3.6784913543744437
cutoff_eV-0,4.06,16.730854,-3.6893595828930748
cutoff_eV-0,4.14,17.739485999999996,-3.6716256999755603
cutoff_eV-0,4.22,18.787862000000004,-3.6312287057142103
kpts-1,3.9,14.829749999999995,-3.6762264046378905
kpts-1,3.98,15.761198000000002,-3.7190607275218386
kpts-1,4.06,16.730854,-3.727625404307549
kpts-1,4.14,17.739485999999996,-3.7084650775217662
kpts-1,4.22,18.787862000000004,-3.6674413851707564
smearing_eV-2,3.9,14.829749999999995,-3.6258846673975076
smearing_eV-2,3.98,15.761198000000002,-3.6718506076732993
smearing_eV-2,4.06,16.730854,-3.682688230682971
smearing_eV-2,4.14,17.739485999999996,-3.6648407559199927
smearing_eV-2,4.22,18.787862000000004,-3.623984994874313
lattice_constants_A-3,3.94,15.290745999999995,-3.6594527827204426
lattice_constants_A-3,3.98,15.761198000000002,-3.677592775719872
lattice_constants_A-3,4.02,16.241201999999994,-3.6870178656753296
lattice_constants_A-3,4.06,16.730854,-3.688463950959628
lattice_constants_A-3,4.1,17.230249999999995,-3.6828216650236243
lattice_constants_A-3,4.14,17.739485999999996,-3.6707425290855227
