T_K,p_bar,mu_minus_Egas_eV,adsorption_G_eV
300.0,1e-09,-0.9857378639909744,0.38573786399097443
300.0,1e-06,-0.807158575993983,0.20715857599398302
300.0,0.001,-0.6285792879969915,0.028579287996991498
300.0,1.0,-0.45,-0.14999999999999997
300.0,100.0,-0.33094714133533903,-0.26905285866466094
600.0,1e-09,-1.9714757279819488,1.3714757279819487
600.0,1e-06,-1.614317151987966,1.014317151987966
600.0,0.001,-1.257158575993983,0.657158575993983
600.0,1.0,-0.9,0.30000000000000004
600.0,100.0,-0.6618942826706781,0.06189428267067809
1000.0,1e-09,-3.2857928799699145,2.6857928799699144
1000.0,1e-06,-2.6905285866466095,2.0905285866466095
1000.0,0.001,-2.0952642933233045,1.4952642933233045
1000.0,1.0,-1.5,0.9
1000.0,100.0,-1.1031571377844633,0.5031571377844634
