mu_eV,clean_Omega_eV,quarter_Omega_eV,half_Omega_eV,stable_state
-1.0,0.0,0.5,1.3,clean
-0.99,0.0,0.49,1.28,clean
-0.98,0.0,0.48,1.26,clean
-0.97,0.0,0.47,1.24,clean
-0.96,0.0,0.45999999999999996,1.22,clean
-0.95,0.0,0.44999999999999996,1.2,clean
-0.94,0.0,0.43999999999999995,1.18,clean
-0.9299999999999999,0.0,0.42999999999999994,1.16,clean
-0.92,0.0,0.42000000000000004,1.1400000000000001,clean
-0.91,0.0,0.41000000000000003,1.12,clean
-0.9,0.0,0.4,1.1,clean
-0.89,0.0,0.39,1.08,clean
-0.88,0.0,0.38,1.06,clean
-0.87,0.0,0.37,1.04,clean
-0.86,0.0,0.36,1.02,clean
-0.85,0.0,0.35,1.0,clean
-0.84,0.0,0.33999999999999997,0.98,clean
-0.83,0.0,0.32999999999999996,0.96,clean
-0.8200000000000001,0.0,0.32000000000000006,0.9400000000000002,clean
-0.81,0.0,0.31000000000000005,0.9200000000000002,clean
-0.8,0.0,0.30000000000000004,0.9000000000000001,clean
-0.79,0.0,0.29000000000000004,0.8800000000000001,clean
-0.78,0.0,0.28,0.8600000000000001,clean
-0.77,0.0,0.27,0.8400000000000001,clean
-0.76,0.0,0.26,0.8200000000000001,clean
-0.75,0.0,0.25,0.8,clean
-0.74,0.0,0.24,0.78,clean
-0.73,0.0,0.22999999999999998,0.76,clean
-0.72,0.0,0.21999999999999997,0.74,clean
-0.71,0.0,0.20999999999999996,0.72,clean
-0.7,0.0,0.19999999999999996,0.7,clean
-0.69,0.0,0.18999999999999995,0.6799999999999999,clean
-0.6799999999999999,0.0,0.17999999999999994,0.6599999999999999,clean
-0.6699999999999999,0.0,0.16999999999999993,0.6399999999999999,clean
-0.6599999999999999,0.0,0.15999999999999992,0.6199999999999999,clean
-0.6499999999999999,0.0,0.1499999999999999,0.5999999999999999,clean
-0.64,0.0,0.14,0.5800000000000001,clean
-0.63,0.0,0.13,0.56,clean
-0.62,0.0,0.12,0.54,clean
-0.61,0.0,0.10999999999999999,0.52,clean
-0.6,0.0,0.09999999999999998,0.5,clean
-0.59,0.0,0.08999999999999997,0.48,clean
-0.5800000000000001,0.0,0.08000000000000007,0.4600000000000002,clean
-0.5700000000000001,0.0,0.07000000000000006,0.44000000000000017,clean
-0.56,0.0,0.06000000000000005,0.42000000000000015,clean
-0.55,0.0,0.050000000000000044,0.40000000000000013,clean
-0.54,0.0,0.040000000000000036,0.3800000000000001,clean
-0.53,0.0,0.030000000000000027,0.3600000000000001,clean
-0.52,0.0,0.020000000000000018,0.3400000000000001,clean
-0.51,0.0,0.010000000000000009,0.32000000000000006,clean
-0.5,0.0,0.0,0.30000000000000004,clean
-0.49,0.0,-0.010000000000000009,0.28,quarter
-0.48,0.0,-0.020000000000000018,0.26,quarter
-0.47,0.0,-0.030000000000000027,0.24,quarter
-0.45999999999999996,0.0,-0.040000000000000036,0.21999999999999997,quarter
-0.44999999999999996,0.0,-0.050000000000000044,0.19999999999999996,quarter
-0.43999999999999995,0.0,-0.06000000000000005,0.17999999999999994,quarter
-0.42999999999999994,0.0,-0.07000000000000006,0.15999999999999992,quarter
-0.42000000000000004,0.0,-0.07999999999999996,0.14000000000000012,quarter
-0.41000000000000003,0.0,-0.08999999999999997,0.1200000000000001,quarter
-0.4,0.0,-0.09999999999999998,0.10000000000000009,quarter
-0.39,0.0,-0.10999999999999999,0.08000000000000007,quarter
-0.38,0.0,-0.12,0.06000000000000005,quarter
-0.37,0.0,-0.13,0.040000000000000036,quarter
-0.36,0.0,-0.14,0.020000000000000018,quarter
-0.35,0.0,-0.15000000000000002,0.0,quarter
-0.33999999999999997,0.0,-0.16000000000000003,-0.020000000000000018,quarter
-0.32999999999999996,0.0,-0.17000000000000004,-0.040000000000000036,quarter
-0.31999999999999995,0.0,-0.18000000000000005,-0.06000000000000005,quarter
-0.30999999999999994,0.0,-0.19000000000000006,-0.08000000000000007,quarter
-0.29999999999999993,0.0,-0.20000000000000007,-0.10000000000000009,quarter
-0.29000000000000004,0.0,-0.20999999999999996,-0.11999999999999988,quarter
-0.28,0.0,-0.21999999999999997,-0.1399999999999999,quarter
-0.27,0.0,-0.22999999999999998,-0.15999999999999992,quarter
-0.26,0.0,-0.24,-0.17999999999999994,quarter
-0.25,0.0,-0.25,-0.19999999999999996,quarter
-0.24,0.0,-0.26,-0.21999999999999997,quarter
-0.22999999999999998,0.0,-0.27,-0.24,quarter
-0.21999999999999997,0.0,-0.28,-0.26,quarter
-0.20999999999999996,0.0,-0.29000000000000004,-0.28,quarter
-0.19999999999999996,0.0,-0.30000000000000004,-0.30000000000000004,quarter
-0.18999999999999995,0.0,-0.31000000000000005,-0.32000000000000006,half
-0.17999999999999994,0.0,-0.32000000000000006,-0.3400000000000001,half
-0.16999999999999993,0.0,-0.33000000000000007,-0.3600000000000001,half
-0.16000000000000003,0.0,-0.33999999999999997,-0.3799999999999999,half
-0.15000000000000002,0.0,-0.35,-0.3999999999999999,half
-0.14,0.0,-0.36,-0.41999999999999993,half
-0.13,0.0,-0.37,-0.43999999999999995,half
-0.12,0.0,-0.38,-0.45999999999999996,half
-0.10999999999999999,0.0,-0.39,-0.48,half
-0.09999999999999998,0.0,-0.4,-0.5,half
-0.08999999999999997,0.0,-0.41000000000000003,-0.52,half
-0.07999999999999996,0.0,-0.42000000000000004,-0.54,half
-0.06999999999999995,0.0,-0.43000000000000005,-0.56,half
-0.05999999999999994,0.0,-0.44000000000000006,-0.5800000000000001,half
-0.04999999999999993,0.0,-0.45000000000000007,-0.6000000000000001,half
-0.040000000000000036,0.0,-0.45999999999999996,-0.6199999999999999,half
-0.030000000000000027,0.0,-0.47,-0.6399999999999999,half
-0.020000000000000018,0.0,-0.48,-0.6599999999999999,half
-0.010000000000000009,0.0,-0.49,-0.6799999999999999,half
0.0,0.0,-0.5,-0.7,half
0.010000000000000009,0.0,-0.51,-0.72,half
0.020000000000000018,0.0,-0.52,-0.74,half
0.030000000000000027,0.0,-0.53,-0.76,half
0.040000000000000036,0.0,-0.54,-0.78,half
0.050000000000000044,0.0,-0.55,-0.8,half
0.06000000000000005,0.0,-0.56,-0.8200000000000001,half
0.07000000000000006,0.0,-0.5700000000000001,-0.8400000000000001,half
0.08000000000000007,0.0,-0.5800000000000001,-0.8600000000000001,half
0.09000000000000008,0.0,-0.5900000000000001,-0.8800000000000001,half
0.10000000000000009,0.0,-0.6000000000000001,-0.9000000000000001,half
0.1100000000000001,0.0,-0.6100000000000001,-0.9200000000000002,half
0.1200000000000001,0.0,-0.6200000000000001,-0.9400000000000002,half
0.13000000000000012,0.0,-0.6300000000000001,-0.9600000000000002,half
0.14000000000000012,0.0,-0.6400000000000001,-0.9800000000000002,half
0.15000000000000013,0.0,-0.6500000000000001,-1.0000000000000002,half
0.15999999999999992,0.0,-0.6599999999999999,-1.0199999999999998,half
0.16999999999999993,0.0,-0.6699999999999999,-1.0399999999999998,half
0.17999999999999994,0.0,-0.6799999999999999,-1.0599999999999998,half
0.18999999999999995,0.0,-0.69,-1.0799999999999998,half
0.2,0.0,-0.7,-1.1,half
