      Step     Time          Energy          fmax
FIRE:    0 15:47:31        2.915992        0.491696
FIRE:    1 15:47:31        2.913745        0.422757
FIRE:    2 15:47:31        2.910455        0.297447
FIRE:    3 15:47:31        2.907832        0.137205
FIRE:    4 15:47:31        2.907142        0.033087
FIRE:    5 15:47:31        2.907139        0.032060
FIRE:    6 15:47:31        2.907134        0.030039
FIRE:    7 15:47:31        2.907127        0.027083
FIRE:    8 15:47:31        2.907119        0.023282
FIRE:    9 15:47:31        2.907112        0.018754
FIRE:   10 15:47:31        2.907105        0.013637
FIRE:   11 15:47:31        2.907100        0.008089
FIRE:   12 15:47:31        2.907098        0.001681
