T_K,barrier_eV,TST_s^-1,timescale_s,Arrhenius_s^-1
3.000000000000000000e+02,0.000000000000000000e+00,6.250985738394538086e+12,1.599747690764742384e-13,1.000000000000000000e+13
3.000000000000000000e+02,1.000000000000000056e-01,1.306238398637677460e+11,7.655570384724072423e-12,2.089651861808859253e+11
3.000000000000000000e+02,2.000000000000000111e-01,2.729583501679445744e+09,3.663562588888467854e-10,4.366644903561232567e+09
3.000000000000000000e+02,3.000000000000000444e-01,5.703879246247197688e+07,1.753192795338258020e-08,9.124767652584894001e+07
3.000000000000000000e+02,4.000000000000000222e-01,1.191912188645337475e+06,8.389879804287810500e-07,1.906758771379728569e+06
3.000000000000000000e+02,5.000000000000000000e-01,2.490681524115407956e+04,4.014965343090825666e-05,3.984462016634032625e+04
3.000000000000000000e+02,6.000000000000000888e-01,5.204657284040673630e+02,1.921356095945750192e-03,8.326138471365962914e+02
3.000000000000000000e+02,7.000000000000000666e-01,1.087592178367263962e+01,9.194622946822210430e-02,1.739873075836826288e+01
3.000000000000000000e+02,8.000000000000000444e-01,2.272689020413907190e-01,4.400074057725142929e+00,3.635729012233532287e-01
3.000000000000000000e+02,9.000000000000000222e-01,4.749128842820493114e-03,2.105649337165809527e+02,7.597407899446316504e-03
3.000000000000000000e+02,1.000000000000000000e+00,9.924025928370002511e-05,1.007655569642639603e+04,1.587593756199934042e-04
3.000000000000000000e+02,1.100000000000000089e+00,2.073775925785763421e-06,4.822121751756257145e+05,3.317518248439290471e-06
3.000000000000000000e+02,1.200000000000000178e+00,4.333469724292612763e-08,2.307619675739717111e+07,6.932458184436032917e-08
3.000000000000000000e+02,1.300000000000000044e+00,9.055443077460389441e-10,1.104308195022579908e+09,1.448642415201882919e-09
3.000000000000000000e+02,1.400000000000000133e+00,1.892272348631925619e-11,5.284651549883818817e+10,3.027158320021898836e-11
3.000000000000000000e+02,1.500000000000000000e+00,3.954190436368157001e-13,2.528962669077919922e+12,6.325707019423988024e-13
3.000000000000000000e+02,1.600000000000000089e+00,8.262881407303450589e-15,1.210231577468984844e+14,1.321852545039661863e-14
3.000000000000000000e+02,1.700000000000000178e+00,1.726654551667747191e-16,5.791546427362187000e+15,2.762211631778909715e-16
3.000000000000000000e+02,1.800000000000000044e+00,3.608106898593276221e-18,2.771536509602524800e+17,5.772060679056930469e-18
3.000000000000000000e+02,1.900000000000000133e+00,7.539687298250779140e-20,1.326314952388014490e+19,1.206159734446494440e-19
3.000000000000000000e+02,2.000000000000000000e+00,1.575532160024647088e-21,6.347061807893253980e+20,2.520453934725015478e-21
3.000000000000000000e+02,2.100000000000000089e+00,3.292313711535215637e-23,3.037377624423576214e+22,5.266871257301559015e-23
3.000000000000000000e+02,2.200000000000000178e+00,6.879789476968354349e-25,1.453532849148546473e+24,1.100592732872769940e-24
3.000000000000000000e+02,2.300000000000000266e+00,1.437636488939982409e-26,6.955861288254679435e+25,2.299855653340868962e-26
3.000000000000000000e+02,2.400000000000000355e+00,3.004159765717808965e-28,3.328717771310214086e+27,4.805897647895414490e-28
3.000000000000000000e+02,2.500000000000000000e+00,6.277648047603532808e-30,1.592953272335402770e+29,1.004265296758754465e-29
3.000000000000000000e+02,2.600000000000000089e+00,1.311809893045538750e-31,7.623055789573052320e+30,2.098564847121944433e-31
3.000000000000000000e+02,2.700000000000000178e+00,2.741225985341911952e-33,3.648002774478552704e+32,4.385269939915028901e-33
3.000000000000000000e+02,2.800000000000000266e+00,5.728207983908513029e-35,1.745746667734771428e+34,9.163687494477803828e-35
3.000000000000000000e+02,2.900000000000000355e+00,1.196996047840271610e-36,8.354246463923505494e+35,1.914891663386997511e-36
3.000000000000000000e+02,3.000000000000000000e+00,2.501305019947324775e-38,3.997913057484924673e+37,4.001456929558990447e-38
6.000000000000000000e+02,0.000000000000000000e+00,1.250197147678907617e+13,7.998738453823711920e-14,1.000000000000000000e+13
6.000000000000000000e+02,1.000000000000000056e-01,1.807238512297415771e+12,5.533303950726293374e-13,1.445562818354449707e+12
6.000000000000000000e+02,2.000000000000000111e-01,2.612476797275354919e+11,3.827785192362036211e-12,2.089651861808859253e+11
6.000000000000000000e+02,3.000000000000000444e-01,3.776499321954966736e+10,2.647954930605769585e-11,3.020723034736036682e+10
6.000000000000000000e+02,4.000000000000000222e-01,5.459167003358891487e+09,1.831781294444233927e-10,4.366644903561232567e+09
6.000000000000000000e+02,5.000000000000000000e-01,7.891568839243103266e+08,1.267175159173941985e-09,6.312259513545076847e+08
