      Step     Time          Energy          fmax
BFGS:    0 13:19:46      -39.783693        1.578994
BFGS:    1 13:20:11      -39.837114        1.542049
BFGS:    2 13:20:51      -40.169024        0.891593
BFGS:    3 13:21:29      -40.215200        0.888981
BFGS:    4 13:21:59      -40.245638        0.571173
BFGS:    5 13:22:29      -40.276714        0.388636
BFGS:    6 13:23:01      -40.306004        0.308474
BFGS:    7 13:23:30      -40.312049        0.189787
BFGS:    8 13:23:51      -40.314415        0.141194
BFGS:    9 13:24:10      -40.316137        0.142224
BFGS:   10 13:24:35      -40.321275        0.141757
BFGS:   11 13:25:02      -40.327327        0.129834
BFGS:   12 13:25:31      -40.332800        0.121196
BFGS:   13 13:25:56      -40.334572        0.114573
BFGS:   14 13:26:13      -40.335602        0.077945
BFGS:   15 13:26:32      -40.336339        0.066210
BFGS:   16 13:27:01      -40.336318        0.103438
BFGS:   17 13:27:28      -40.338063        0.061690
BFGS:   18 13:27:45      -40.338362        0.059889
BFGS:   19 13:28:12      -40.338764        0.062681
BFGS:   20 13:28:29      -40.339078        0.055314
BFGS:   21 13:28:52      -40.339309        0.048183
BFGS:   22 13:29:15      -40.339634        0.042350
BFGS:   23 13:29:38      -40.339930        0.027254
