window,center,acceptance,mean_y
0,-1.5,0.394125,0.0007271624106197393
1,-1.25,0.4186875,0.0004936979194714271
2,-1.0,0.449125,-0.00010674145021967576
3,-0.75,0.48325,-0.0013838459951384633
4,-0.5,0.512375,-0.00569392073219398
5,-0.25,0.5565625,-0.0017706507043706579
6,0.0,0.58075,0.0012778186509321578
7,0.25,0.5601875,-0.002029826808884466
8,0.5,0.52,-0.0010366541710844438
9,0.75,0.478,-6.82583880044295e-05
10,1.0,0.4515,-0.0011772745532343143
11,1.25,0.422625,0.0006458566397348959
12,1.5,0.39125,-0.0009920295304319724
