T_K,pA_bar,TOF_s^-1,balance_residual_s^-1,Cantera_TOF_s^-1,relative_error
400.0,0.01,141.65056965685596,3.2458347208547204e-09,141.65056965680998,3.2462921240039577e-13
400.0,0.1,151.26661377259674,1.8236510674517184e-09,151.26661377276528,1.1142198275138071e-12
400.0,1.0,152.24386531658027,7.142989085134224e-09,152.24386531693102,2.303934820702125e-12
400.0,10.0,152.34174951217665,4.933260141830776e-09,152.3417495122857,7.158718062783009e-13
600.0,0.01,501308.76455600857,2.8933369051652546e-07,501308.7645561582,2.985389713217046e-13
600.0,0.1,723726.1184091553,2.2797670707639668e-07,723726.1184093748,3.034239526300553e-13
600.0,1.0,752320.8596761593,2.5352763863725113e-07,752320.8596763883,3.044231533522179e-13
600.0,10.0,755262.2228746322,2.92804295323796e-07,755262.2228748498,2.881028748902281e-13
800.0,0.01,19115872.053191613,2.3085596983554696e-06,19115872.053195257,1.9062529332813938e-13
800.0,0.1,47689242.80860254,3.7416252537577628e-06,47689242.80861415,2.433608869978343e-13
800.0,1.0,53867949.92893218,4.6050894931345445e-06,53867949.92894524,2.424727085781342e-13
800.0,10.0,54558409.024995126,3.6042265837805567e-06,54558409.02500877,2.5002222514558525e-13
1000.0,0.01,133394597.51922628,4.282103590538532e-06,133394597.51924348,1.2889689315898067e-13
1000.0,0.1,553258484.5916804,8.98541786168751e-06,553258484.5917809,1.816324868286756e-13
1000.0,1.0,706413444.9556617,5.0626152710034335e-06,706413444.955797,1.915134717478395e-13
1000.0,10.0,725884084.4162996,1.7027766387739405e-05,725884084.4164389,1.9195756095768957e-13
