      Step     Time          Energy          fmax
BFGS:    0 13:06:55      -12.027163        1.787709
BFGS:    1 13:06:57      -12.101849        1.652685
BFGS:    2 13:07:00      -12.518155        0.769984
BFGS:    3 13:07:03      -12.552966        0.509574
BFGS:    4 13:07:05      -12.568479        0.383174
BFGS:    5 13:07:06      -12.571430        0.340845
BFGS:    6 13:07:09      -12.587874        0.099187
BFGS:    7 13:07:10      -12.588248        0.094259
BFGS:    8 13:07:12      -12.591097        0.148276
BFGS:    9 13:07:13      -12.595009        0.189907
BFGS:   10 13:07:16      -12.601612        0.183794
BFGS:   11 13:07:18      -12.603544        0.057958
BFGS:   12 13:07:19      -12.604115        0.024064
